
Category,Item,Price,Notes
Tiffin Combo,Ghee Pongal,10.99,
Tiffin Combo,Ghee Pongal Vada,13.99,
Tiffin Combo,Idli Sambar Chutney,8.99,
Tiffin Combo,Idli Vada,10.99,
Tiffin Combo,Poori Masala,13.99,"Deep Fried wheat based bread with potatoe masala"
Tiffin Combo,Chole Bhatura,15.99,"Deep Fried bread with chickpeas curry"
Tiffin Combo,Idiyappam Combo,12.99,"Idiyappam with coconut milk and Veg Curry"
Tiffin Combo,Ghee Podi Idli,10.99,
Dosa Corner,Kal Dosa,13.99,"Soft, thin pancake made from rice and lentil batter, served plain."
Dosa Corner,MK Special Mutton Kari Dosa,17.99,
Dosa Corner,MK Special Chicken Kari Dosa,16.99,
Dosa Corner,Onion Rava Masala Dosa,16.99,"Semolina dosa with topping of sautéed onions filled with a spiced potato mixture for a hearty, flavorful dish."
Dosa Corner,Plain Dosa,13.99,
Dosa Corner,Ghee Dosa,14.99,
Dosa Corner,Masala Dosa,15.99,
Dosa Corner,Mysore Masala Dosa,16.99,
Dosa Corner,Gun Podi Dosa,15.99,
Dosa Corner,Onion Masala Dosa,16.99,
Dosa Corner,Egg Dosa,17.99,
Dosa Corner,Paneer Dosa,17.99,
Dosa Corner,Rava Dosa,14.99,
Dosa Corner,Onion Rava Dosa,15.99,
Dosa Corner,Onion Uthappam,14.99,
Dosa Corner,Veg Uthappam,14.99,"Thick uthappam loaded with mixed vegetables and spices, soft and flavorful."
Dosa Corner,Chilli Uthappam,14.99,
Indo-Chinese,Veg Noodles,15.99,
Indo-Chinese,Egg Noodles,16.99,
Indo-Chinese,Chicken Noodles,17.99,
Indo-Chinese,Veg Fried Rice,14.99,"Indo-Chinese Veg Fried Rice"
Indo-Chinese,Egg Fried Rice,15.99,"Indo-Chinese Egg Fried Rice"
Indo-Chinese,Chicken Fried Rice,16.99,"Indo-Chinese Chicken Fried Rice"
Indo-Chinese,Schezwan Chicken Noodle,16.99,
Indo-Chinese,Schezwan Egg Noodles,17.99,
Indo-Chinese,Schezwan Veg Fried Rice,15.99,
Indo-Chinese,Schezwan Veg Noodle,14.99,
Indo-Chinese,Schezwan Egg Fried Rice,16.99,
Indo-Chinese,Schezwan Chicken Fried Rice,17.99,
Variety-Rice,Bisibellabath,10.99,
Variety-Rice,Jeera Rice,10.99,
Variety-Rice,Curd Rice,10.99,
Tandoori,Half Tandoori Chicken,18.99,"Chicken leg marinated with house made spices and baked in clay oven. Served with chilli mayo."
Tandoori,Full Tandoori Chicken,29.99,"chicken leg marinated with house made spices and baked in clay oven. Served with Chilli Maya."
Tandoori,Chicken Tikka Kebab,18.99,"Chicken cubes marinated with house made spices and baked in clay oven. Served with chilli mayo."
Tandoori,Paneer Tikka,15.99,"Paneer cubes marinated with house made spices and baked in clay oven. Served with chilli mayo."
MK Special Parotta,Veg kothu parotta,14.99,
MK Special Parotta,Egg Kothu Parotta,15.99,"Please call restaurant to order for catering events and more options."
MK Special Parotta,Chicken kothu parotta,16.99,
MK Special Parotta,Veg Veechu Parotta,15.99,
MK Special Parotta,Egg Veechu Parotta,16.99,
MK Special Parotta,Chicken Veechu,19.99,
MK Special Parotta,Plain Veechu,13.99,
Kids Menu,Kids Cheese Dosa,8.99,
Kids Menu,Kids Chocolate Dosa,8.99,
Kids Menu,Kids Poori Masala,10.79,
Kids Menu,Kids Veg Noodles,8.99,
Kids Menu,Kids Egg noodles,9.99,
Biriyani Takeout,MK Spl Kuska,14.99+,"Traditional Madurai style Seeraga Samba rice cooked in mutton/chicken stock"
Biriyani Takeout,MK Spl Egg Biriyani,16.99+,"Traditional Madurai style Seeraga Samba egg biriyani"
Biriyani Takeout,MK Spl Chicken Thokku Biriyani,18.99+,"Traditional Madurai style Seeraga Samba Chicken biriyani cooked in mutton/chicken stock"
Biriyani Takeout,MK Spl Chicken Fry Biriyani,18.99,"Traditional Madurai style Seeraga Samba Chicken biriyani cooked in mutton/chicken stock"
Biriyani Takeout,MK Spl Shrimp Thokku Biriyani,19.99+,"Traditional Madurai style Seeraga Samba rice cooked in mutton/chicken stock"
Biriyani Takeout,Veg Biriyani,14.99+,
Biriyani Takeout,Paneer Biriyani,17.99+,
Biriyani Takeout,Egg Biriyani,15.99+,
Biriyani Takeout,Goat Biryani,19.99+,
Biriyani Takeout,Chicken Kheema Biriyani,16.99+,
Biriyani Takeout,Goat Kheema Biriyani,20.99+,
Breads,Plain Naan,3.99,
Breads,Garlic Naan,4.99,
Breads,Butter Naan,4.29,
Breads,Chilli Naan,5.99,"Naan topped with green chill (Spicy)."
Breads,Cheese Naan,5.99,
Breads,Onion Kulcha,5.99,
Breads,Tandoori Roti,4.99,
Breads,Tandoori Butter Roti,5.99,
Breads,Parotta (2 PCS),5.99,
Breads,Parotta 1 pcs,2.99,
Drinks,Masala chai & Biscuit,4.99,"Tea made with milk, tea powder, cardamom, cinnamon and ginger."
Drinks,Mango Lassi,6.99,
Drinks,Rose Milk,5.99,"Milk made with Rose Syrup."
Drinks,Buttermilk,5.99,"Buttermilk made with ginger, green chilli, ginger, curry leaves and coriander leaves"
Drinks,Lime Soda,4.99,
Drinks,Nanaari Sarbath,5.99,
Drinks,Soda,1.99,
Drinks,Water bottle,1.99,
Drinks,Madurai Special Jigarthanda,9.99,"Jigarthanda is a cold beverage that is famous in the South Indian city of Madurai that is made with milk, almond gum, sarsaparilla root syrup, sugar and ice-cream"
Drinks,Strawberry Milk shake,8.99,
Drinks,Chocolate Milk Shake,8.99,
Drinks,Vanilla Milkshake,8.99,
Mocktails,Virgin Pinacolada,8.99,
Mocktails,Virgin Mojito,8.99,
Mocktails,Shirley Temple,8.99,
Mocktails,Blue Lagoon,8.99,
Desserts,Gulab Jamun,7.99,
Desserts,Rasmalai,8.99,
Desserts,Pineapple Kesari,6.99,
Extras,Potato Masala For dosa,2.99,
Extras,Parotta 1 pcs,2.99,
Extras,Bature 1pc,5.99,
Extras,Extra Sambar 4 OZ,1.99,
Extras,Extra Raita 4 Oz,1.99,
Extras,Extra Salan 4 Oz,1.99,
Extras,Steam Rice,3.99,"Note: All entree curries will be served with rice."
Extras,Poori 1pc,2.99,
Important information regarding calories,Adults and youth (ages 13 and older) need an average of 2,000 calories a day. Children (ages 4 to 12) need an average of 1,500 calories a day. Individual needs may vary. For additional nutrition information, contact our restaurant.,,"Text from menu footer"
